"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Milieu en bodemgebruik|Bodemgebruik|Omgevingsadressendichtheid"
"Regio's";"Perioden";"per km²"
"Aa en Hunze";"2021";"281"
"Aalburg";"2021";""
"Aalsmeer";"2021";"936"
"Aalten";"2021";"774"
"Ter Aar";"2021";""
"Aarle-Rixtel";"2021";""
"Abcoude";"2021";""
"Achtkarspelen";"2021";"429"
"Akersloot";"2021";""
"Alblasserdam";"2021";"1527"
"Albrandswaard";"2021";"1038"
"Alkemade";"2021";""
"Alkmaar";"2021";"2283"
"Almelo";"2021";"1606"
"Almere";"2021";"1616"
"Alphen aan den Rijn";"2021";"1873"
"Alphen en Riel";"2021";""
"Alphen-Chaam";"2021";"317"
"Altena";"2021";"506"
"Ambt Delden";"2021";""
"Ambt Montfort";"2021";""
"Ameland";"2021";"255"
"Amerongen";"2021";""
"Amersfoort";"2021";"2341"
"Ammerzoden";"2021";""
"Amstelveen";"2021";"2507"
"Amsterdam";"2021";"6096"
"Andijk";"2021";""
"Angerlo";"2021";""
"Anloo";"2021";""
"Anna Paulowna";"2021";""
"Apeldoorn";"2021";"1770"
"Appingedam";"2021";""
"Arcen en Velden";"2021";""
"Arnemuiden";"2021";""
"Arnhem";"2021";"2239"
"Assen";"2021";"1582"
"Asten";"2021";"975"
"Avereest";"2021";""
"Axel";"2021";""
"Baarle-Nassau";"2021";"348"
"Baarn";"2021";"1618"
"Bakel en Milheeze";"2021";""
"Barendrecht";"2021";"1670"
"Barneveld";"2021";"885"
"Bathmen";"2021";""
"Bedum";"2021";""
"Beek (L.)";"2021";"891"
"Beek en Donk";"2021";""
"Beekdaelen";"2021";"501"
"Beemster";"2021";"666"
"Beesel";"2021";"756"
"Beilen";"2021";""
"Belfeld";"2021";""
"Bellingwedde";"2021";""
"Bemmel";"2021";""
"Bennebroek";"2021";""
"Berg en Dal";"2021";"653"
"Bergambacht";"2021";""
"Bergeijk";"2021";"509"
"Bergen (L.)";"2021";"318"
"Bergen (NH.)";"2021";"819"
"Bergen op Zoom";"2021";"1855"
"Bergeyk";"2021";""
"Bergh";"2021";""
"Bergschenhoek";"2021";""
"Berkel en Rodenrijs";"2021";""
"Berkel-Enschot";"2021";""
"Berkelland";"2021";"656"
"Berlicum";"2021";""
"Bernheze";"2021";"686"
"Bernisse";"2021";""
"Best";"2021";"1437"
"Beuningen";"2021";"1000"
"Beverwijk";"2021";"2736"
"het Bildt";"2021";""
"De Bilt";"2021";"1272"
"Binnenmaas";"2021";""
"Bladel";"2021";"690"
"Bladel en Netersel";"2021";""
"Blaricum";"2021";"1081"
"Bleiswijk";"2021";""
"Bloemendaal";"2021";"1092"
"Boarnsterhim";"2021";""
"Bodegraven";"2021";""
"Bodegraven-Reeuwijk";"2021";"1142"
"Boekel";"2021";"551"
"Ten Boer";"2021";""
"Bolsward";"2021";""
"Borculo";"2021";""
"Borger";"2021";""
"Borger-Odoorn";"2021";"264"
"Born";"2021";""
"Borne";"2021";"1237"
"Borsele";"2021";"319"
"Boskoop";"2021";""
"Boxmeer";"2021";"673"
"Boxtel";"2021";"1161"
"Brakel";"2021";""
"Breda";"2021";"2202"
"Brederwiede";"2021";""
"Breukelen";"2021";""
"Brielle";"2021";"892"
"Broekhuizen";"2021";""
"Bronckhorst";"2021";"378"
"Brouwershaven";"2021";""
"Bruinisse";"2021";""
"Brummen";"2021";"769"
"Brunssum";"2021";"1669"
"Budel";"2021";""
"Bunnik";"2021";"667"
"Bunschoten";"2021";"1184"
"Buren";"2021";"292"
"Bussum";"2021";""
"Capelle aan den IJssel";"2021";"2308"
"Castricum";"2021";"1348"
"Chaam";"2021";""
"Coevorden";"2021";"498"
"Cothen";"2021";""
"Cranendonck";"2021";"592"
"Cromstrijen";"2021";""
"Cuijk";"2021";"876"
"Culemborg";"2021";"1479"
"Dalen";"2021";""
"Dalfsen";"2021";"511"
"Dantumadeel";"2021";""
"Dantumadiel";"2021";"456"
"Delft";"2021";"3562"
"Delfzijl";"2021";""
"Denekamp";"2021";""
"Deurne";"2021";"891"
"Deventer";"2021";"1830"
"Didam";"2021";""
"Diemen";"2021";"2802"
"Diepenheim";"2021";""
"Diepenveen";"2021";""
"Diessen";"2021";""
"Diever";"2021";""
